iter	RMSE
0	0.5823002633
1	0.5489908511
2	0.513766453
3	0.4831446502
4	0.4579466939
5	0.4347670357
6	0.4137425322
7	0.3951505317
8	0.3777937651
9	0.3638027218
10	0.3506626496
11	0.3375441856
12	0.3272348925
13	0.3165464025
14	0.3077041657
15	0.2996137875
16	0.2914029816
17	0.285026784
18	0.2800331926
19	0.2742086546
20	0.2700906183
21	0.2657396742
22	0.2615104095
23	0.2576441126
24	0.2536248681
25	0.2500960005
26	0.2471125292
27	0.2441272464
28	0.2416234671
29	0.2387573063
30	0.2365820521
31	0.2347251874
32	0.2333143412
33	0.2315505643
34	0.2290735176
35	0.227779299
36	0.2261910558
37	0.2252492321
38	0.2241537531
39	0.223480407
40	0.2226595896
41	0.2211564006
42	0.2202645994
43	0.2192090393
44	0.2180694407
45	0.2175477185
46	0.2167979153
47	0.2158862654
48	0.2153557883
49	0.2147898931
50	0.2141715312
51	0.2137847541
52	0.2129795455
53	0.212159209
54	0.211400849
55	0.2110406144
56	0.2105592293
57	0.2099523057
58	0.2095570837
59	0.2086456171
60	0.2082993669
61	0.2077029897
62	0.2074678493
63	0.2068263908
64	0.2060960669
65	0.2056612032
66	0.2051407422
67	0.2045518137
68	0.2041995762
69	0.2036837285
70	0.2030468835
71	0.2026854268
72	0.2022463761
73	0.2015922736
74	0.2011573724
75	0.2006756984
76	0.2003131363
77	0.1999409732
78	0.1993811291
79	0.1988356778
80	0.1983579096
81	0.1977573176
82	0.197343057
83	0.1970110109
84	0.1963159326
85	0.1960091255
86	0.1957601083
87	0.1953557136
88	0.1949959875
89	0.1947995799
90	0.1945428302
91	0.1940593561
92	0.193731659
93	0.1933395158
94	0.192781396
95	0.1921880346
96	0.1913032455
97	0.1907552264
98	0.1905804062
99	0.189901365
100	0.1893070688
101	0.1885307261
102	0.1880870108
103	0.1876486658
104	0.1870136158
105	0.1865186012
106	0.1860721667
107	0.1855370484
108	0.1851294251
109	0.1848116002
110	0.1846172746
111	0.1844852388
112	0.1838087091
113	0.1832194464
114	0.18291696
115	0.1828807631
116	0.1825196699
117	0.1818143733
118	0.1813175918
119	0.1809328278
120	0.1805995408
121	0.1804277255
122	0.1803280747
123	0.1802384019
124	0.1799393089
125	0.1794071029
126	0.1792195973
127	0.178681753
128	0.1783795573
129	0.1781245843
130	0.1777713039
131	0.1774331396
132	0.1772893923
133	0.1768151651
134	0.1767863638
135	0.1766182639
136	0.1764167272
137	0.1763962277
138	0.1760992747
139	0.1759443004
140	0.1757727038
141	0.1755670548
142	0.1753927346
143	0.1753607872
144	0.1748815127
145	0.174440764
146	0.1739869393
147	0.1736958649
148	0.1734009061
149	0.1729990846
150	0.172974242
151	0.1728370095
152	0.1728138556
153	0.1726157087
154	0.1724715988
155	0.1719477821
156	0.1716492156
157	0.1714740242
158	0.1711744815
159	0.171152217
160	0.1708169859
161	0.1706367867
162	0.1705229252
163	0.1701515896
164	0.1696972703
165	0.1695171556
166	0.1695003163
167	0.1694843635
168	0.1690678522
169	0.1689653381
170	0.1689463633
171	0.1687994851
172	0.1685183537
173	0.1681429198
174	0.1681249567
175	0.167706003
176	0.1676084539
177	0.1673560716
178	0.1672145559
179	0.1670847609
180	0.1668631383
181	0.1667300147
182	0.1667054694
183	0.1664145793
184	0.1663871395
185	0.1661224461
186	0.1660091041
187	0.1657363874
188	0.1654723478
189	0.1653658605
190	0.1653397477
191	0.1650995172
192	0.1650699311
193	0.1650266935
194	0.1649593884
195	0.1644737719
196	0.1643283604
197	0.164268826
198	0.1642085553
199	0.1637497212
200	0.1633755564
201	0.1631833575
202	0.1630023782
203	0.16246513
204	0.1621998547
205	0.1617810649
206	0.1615514833
207	0.1613100586
208	0.1612293696
209	0.1609114577
210	0.1607407286
211	0.1607171992
212	0.1606963316
213	0.1605072497
214	0.1602204177
215	0.1600972506
216	0.160046385
217	0.1597752068
218	0.1597631166
219	0.1595760512
220	0.1593147377
221	0.1593050753
222	0.159286373
223	0.1592757135
224	0.1589337893
225	0.1586240031
226	0.1584572576
227	0.1584366127
228	0.1583127598
229	0.1582506352
230	0.1581926044
231	0.1580196679
232	0.1579904343
233	0.1577815893
234	0.1577650478
235	0.1574342364
236	0.1573742762
237	0.1573296705
238	0.1569743702
239	0.1566880951
240	0.1564500619
241	0.1562373096
242	0.156116101
243	0.1558153522
244	0.1558049381
245	0.1555700955
246	0.1554564978
